Question	Answer
¿Flash Professional viene incluido en Creative Cloud?	"Sí. Ahora, Flash Professional CC se llama Animate y sigue disponible en Creative Cloud. Flash Professional ha cambiado de nombre a Animate porque ofrece una ayuda de primera clase para publicar animaciones en HTML5 y otras plataformas, además de Flash y AIR.

Las versiones anteriores de Flash Professional de la época de CS6 siguen a disposición de los abonados a Creative Cloud. Puede encontrarlas en Versiones anteriores de la aplicación de escritorio de Creative Cloud."
¿Puedo instalar versiones anteriores de las aplicaciones de Creative Cloud?	Sí, puede instalar la versión importante anterior de la aplicación de Creative Cloud. Descubra cómo instalar la versión anterior de la aplicación de escritorio de Creative Cloud.
¿Dónde puedo obtener más información sobre Creative Cloud y la seguridad?	Puede buscar recursos sobre Creative Cloud y la seguridad en el Centro de confianza de Adobe.
¿Qué tipos de archivos se pueden almacenar en Creative Cloud?	No hay limitaciones en los tipos de archivos que puede almacenar en Creative Cloud.
¿Se puede compartir cualquier tipo de archivo a través de Creative Cloud?	No hay limitaciones en los tipos de archivos que puede compartir a través de Creative Cloud.
¿Qué les ocurre a mis archivos de Creative Cloud si cancelo mi abono o lo paso a una categoría inferior?	"Sus archivos de Creative Cloud se almacenan en su escritorio y en los servidores de Creative Cloud. Si cancela su abono de pago o lo revierte a un nivel inferior, sigue teniendo acceso a todos los archivos de la carpeta de Creative Cloud de su ordenador y a través del sitio web de Creative Cloud.
Su cuenta se revertirá a un abono gratuito, que incluye 2 GB de almacenamiento. Si se usan más de 2 GB de almacenamiento, ya no será posible cargar nuevos archivos a la nube. Para cargar nuevos archivos, habrá que eliminar archivos del servidor de Creative Cloud, hasta que la cantidad de almacenamiento que se esté usando caiga por debajo de 2 GB.
Si ha sobrepasado el límite de almacenamiento, dispone de 30 días para reducir el uso en línea. Pasados los 30 días, podría perder el acceso a todos o parte de los archivos guardados en los servidores de Creative Cloud."
¿Es obligatorio almacenar los archivos en la nube?	No. Puede guardar sus archivos donde elija, por ejemplo, en el disco duro local, las memorias extraíbles, las unidades de almacenamiento, etc. Sin embargo, su abono a Creative Cloud incluye almacenamiento en la nube que puede usar para realizar copias de seguridad, compartir vínculos, colaborar en carpetas y mucho más. La aplicación de escritorio de Creative Cloud facilita la sincronización de sus archivos locales en el almacenamiento de Creative Cloud. Así pues, si elige sincronizar sus archivos en Creative Cloud, conservará una copia local de los mismos.
¿Cómo se eliminan los archivos de la nube?	Conozca cómo eliminar archivos y liberar espacio de almacenamiento en la nube.
¿Cómo se descargan los archivos de la nube?	"Inicie sesión en https://assets.adobe.com/files.
Seleccione el archivo que desea descargar. A continuación, seleccione el icono . . . en la parte superior derecha y luego seleccione Descargar.
Inicie sesión en https://assets.adobe.com/files.
Seleccione el archivo que desea descargar. A continuación, seleccione el icono . . . en la parte superior derecha y luego seleccione Descargar."
¿Qué se incluye con un abono gratuito a Creative Cloud?	Un abono gratuito a Creative Cloud le concede 2 GB de espacio de almacenamiento. También recibirá algunos servicios gratuitos y el acceso a versiones de prueba gratuitas de las aplicaciones de Creative Cloud. Solo los usuarios que utilizan de forma activa los productos y servicios de Adobe tienen derecho a los beneficios del abono gratuito a Creative Cloud, incluido el almacenamiento, y dichos beneficios y límites de usuario están sujetos a cambios en cualquier momento.
¿Dónde puedo descargar pruebas gratuitas de las aplicaciones de escritorio de Creative Cloud?	Puede descargar versiones de prueba de las aplicaciones de escritorio en la página de Aplicaciones de escritorio de Creative Cloud.
